,link,penilaian,price,spek,seller_name,seller_rate
32,https://shopee.co.id/Silicone-Cover-Samsung-Galaxy-S10E-S10-10E-Original-Soft-Case-Softcase-Casing-i.9737081.2202840089,"['4.6', '7', '16']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanSilikon', 'Model HPSamsung Galaxy S10E', 'Stok284', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",redangus_id,"['11,8RB', '2RB', '91%', 'hitungan jam', '5 tahun lalu', '4,7RB']"
33,https://shopee.co.id/Casing-Housing-Fullset-Samsung-B310-B310E-i.52755387.1495696917,"['4.5', '24', '37']",Rp19.500,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanMetal', 'Model HPB310', 'Stok266', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",miaumiaushop,"['11,4RB', '776', '95%', 'hitungan jam', '3 tahun lalu', '3,4RB']"
34,https://shopee.co.id/BackDoor-Tutup-Belakang-BackCover-Casing-HP-Oppo-Mirror-3-X3001-ORIGINAL-i.44978207.1784477148,"['4.9', '7', '12']",,"['KategoriShopeeHandphone & AksesorisCasing & CoversHard Case', 'MerekOppo', 'BahanPlastik', 'Model HPOppo Mirror 3', 'Stok88', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",jhonichen,"['5RB', '1,5RB', '90%', 'hitungan jam', '4 tahun lalu', '1,6RB']"
35,https://shopee.co.id/Soft-Case-Slim-Black-Matte-Samsung-J5-2015-J500-Ultrathin-Ultra-Thin-Silikon-Blackmatte-Softcase-i.1226546.401462348,"['4.7', '104', '175']",Rp9.500,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanPlastik', 'Model HPSlim Blackmatte Case', 'Stok2', 'Dikirim DariKAB. TANGERANG - KELAPA DUA, BANTEN, ID']",pampamolshop,"['130,8RB', '2,8RB', '90%', 'hitungan jam', '6 tahun lalu', '20,2RB']"
36,https://shopee.co.id/Casing-Housing-Samsung-Galaxy-J5-2016-J510-Fullset-i.18207789.549051001,"['4.5', '72', '129']",Rp56.500,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanMetal', 'Model HPJ5 2016 J510', 'Stok175', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",honashop,"['31RB', '1,1RB', '96%', 'hitungan jam', '4 tahun lalu', '10,8RB']"
37,https://shopee.co.id/CASING-CASE-SAMSUNG-A01-A11-A21-A31-A51-A71-SOFTCASE-IPAKY-CARBON-i.299079311.7250979639,"['4.5', '12', '43']",Rp5.250,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanPlastik', 'Model HPSamsung', 'Stok41', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",duniacase26,"['11RB', '925', '69%', 'hitungan jam', '10 bulan lalu', '4,3RB']"
38,https://shopee.co.id/SAMSUNG-A12-HARDCASE-3D-FULLPRINT-CUSTOM-CASE-DESAIN-BEBAS-ALL-TYPE-HP-i.105007991.1706268437,"['4.4', '17', '36']",Rp17.499,"['KategoriShopeeHandphone & AksesorisCasing & CoversCustom Case', 'MerekSamsung', 'BahanPolyurethane', 'Model HPSAMSUNG', 'Stok493', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",java18.id,"['17,3RB', '963', '64%', 'hitungan jam', '31 bulan lalu', '15RB']"
39,https://shopee.co.id/Backdoor-J2-2015-.-J200-J200G-.-J200F-Back-Door-Tutup-Belakang-Cover-Casing-Samsung-Galaxy-i.8033874.1231281176,"['4.5', '45', '70']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanPlastik', 'Model HPj200', 'Stok82', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",originalsamsung,"['21,5RB', '1,2RB', '45%', 'hitungan jam', '5 tahun lalu', '5RB']"
40,https://shopee.co.id/Silicon-Silikon-Case-Xiaomi-PowerBank-10000mAH-Power-Bank-2i-10000-mAH-i.3417611.1612705438,"['4.7', '32', '58']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekXiaomi', 'BahanSilikon', 'Model HPPowerbank 10000mah v2i', 'Stok120', 'Dikirim DariKOTA BEKASI - BEKASI UTARA, JAWA BARAT, ID']",i3store,"['8,6RB', '119', '91%', 'hitungan jam', '5 tahun lalu', '3,9RB']"
41,https://shopee.co.id/FUZECASE-SAMSUNG-GALAXY-J5-2016-J510-SOFTCASE-GAMBAR-KARAKTER-CASE-CASING-i.44978207.1859469829,"['4.4', '16', '29']",Rp15.000,"['KategoriShopeeHandphone & AksesorisCasing & CoversHard Case', 'MerekSamsung', 'BahanSilikon', 'Model HPSAMSUNG J5 2016', 'Stok71', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",jhonichen,"['5RB', '1,5RB', '90%', 'hitungan jam', '4 tahun lalu', '1,6RB']"
42,https://shopee.co.id/-SM001-SM010-CUSTOM-CASE-SOFTCASE-HARDCASE-ALL-TYPE-HP-i.120758727.1847464087,"['4.9', '15', '115']",,"['KategoriShopeeHandphone & AksesorisCasing & CoversCustom Case', 'MerekOppo', 'BahanSilikon', 'Model HPOPPO', 'Stok2950', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",jayaraya.id,"['5RB', '805', '63%', 'hitungan jam', '29 bulan lalu', '6RB']"
43,https://shopee.co.id/Softcase-Black-Xiaomi-Redmi-Note-1-2-3-3pro-4-4X-5-5A-5prime-5pro-6-6pro-7-8-note-pro-Mi-Mix-Max-i.15674427.1850343015,"['4.7', '276', '496']",Rp4.200,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekXiaomi', 'BahanSilikon', 'Model HPXiaomi', 'Stok88', 'Dikirim DariKAB. BEKASI - CIKARANG UTARA, JAWA BARAT, ID']",denykun,"['35,8RB', '295', '29%', 'hitungan jam', '4 tahun lalu', '2,9RB']"
44,https://shopee.co.id/Softcase-black-Oppo-A11K-A12-A31-A33-A37-A39-A52-A57-A59-A71-A73-A79-F1-F1-F1S-F5-F7-F9-F9pro-F11-i.15674427.1492883197,"['4.8', '172', '358']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekOppo', 'BahanSilikon', 'Model HPOppo', 'Stok95', 'Dikirim DariKAB. BEKASI - CIKARANG UTARA, JAWA BARAT, ID']",denykun,"['35,8RB', '295', '29%', 'hitungan jam', '4 tahun lalu', '2,9RB']"
45,https://shopee.co.id/SOFTCASE-CASE-XIAOMI-4A-5A-6A-7A-8A-SOFTCASE-AUTOFOCUS-FOR-XIAOMI-i.299079311.6748797254,"['5.0', '8', '25']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekXiaomi', 'BahanSilikon', 'Model HPXIAOMI', 'Stok1290', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",duniacase26,"['11RB', '925', '69%', 'hitungan jam', '10 bulan lalu', '4,3RB']"
46,https://shopee.co.id/Casing-fullset-Samsung-Galaxy-J1ace-J110-Kesing-Housing-Backcover-Samsung-Fulset-J1-Ace-ORI-i.39474.663540440,"['4.9', '12', '17']",,"['KategoriShopeeHandphone & AksesorisCasing & CoversHard Case', 'MerekSamsung', 'BahanPlastik', 'Model HPJ1ace', 'Stok3', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",masterbaterai,"['5,9RB', '1,3RB', '99%', 'hitungan jam', '6 tahun lalu', '1,2RB']"
47,https://shopee.co.id/XIAOMI-NOTE-2-3-3s-4-4a-4-prime-4x-5-5-5a-6-6a-6-pro-7-8-8-pro-CUSTOM-CASE-BLACKMATTE-i.120758727.1848436707,"['4.7', '16', '140']",Rp11.999,"['KategoriShopeeHandphone & AksesorisCasing & CoversWaterproof Case', 'MerekXiaomi', 'BahanSilikon', 'Model HPXIAOMI', 'Stok942', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",jayaraya.id,"['5RB', '805', '63%', 'hitungan jam', '29 bulan lalu', '6RB']"
48,https://shopee.co.id/CASING-SAMSUNG-CORBY-TXT-B3210-FULLSET-PLUS-TULANG-i.33520389.940391963,"['4.8', '41', '62']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanPlastik', 'Model HPb3210', 'Stok248', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",acc_ku,"['30RB', '1,9RB', '69%', 'hitungan jam', '4 tahun lalu', '5,2RB']"
49,https://shopee.co.id/FUZECASE-XIAOMI-REDMI-5A-SOFTCASE-GAMBAR-KARAKTER-CASE-CASING-i.44978207.1859641107,"['4.5', '15', '22']",,"['KategoriShopeeHandphone & AksesorisCasing & CoversHard Case', 'MerekXiaomi', 'BahanPlastik', 'Model HPXIAOMI REDMI 5A', 'Stok64', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",jhonichen,"['5RB', '1,5RB', '90%', 'hitungan jam', '4 tahun lalu', '1,6RB']"
